S.No,Country,Literacy Rate,Year
1,Andorra,1.0,2016.0
2,Armenia,1.0,2020.0
3,Australia,1.0,2020.0
4,Azerbaijan,1.0,2019.0
5,Barbados,1.0,2014.0
6,Belarus,1.0,2019.0
7,Canada,1.0,2020.0
8,Cuba,1.0,2021.0
9,Estonia,1.0,2021.0
10,France,1.0,2020.0
11,Georgia,1.0,2022.0
12,Germany,1.0,2020.0
13,Greenland,1.0,2015.0
14,Guam,1.0,2000.0
15,Japan,1.0,2020.0
16,Kazakhstan,1.0,2020.0
17,Kyrgyzstan,1.0,2019.0
18,Latvia,1.0,2021.0
19,Lithuania,1.0,2021.0
20,Moldova,1.0,2021.0
21,Poland,1.0,2021.0
22,Russia,1.0,2021.0
23,San Marino,1.0,2018.0
24,Slovenia,1.0,2001.0
25,Switzerland,1.0,2020.0
26,Tajikistan,1.0,2010.0
27,Ukraine,1.0,2021.0
28,United Kingdom,1.0,2020.0
29,United States of America,1.0,2020.0
30,Uzbekistan,1.0,2022.0
31,Albania,0.99,2022.0
32,Antigua and Barbuda,0.99,2001.0
33,Argentina,0.99,2018.0
34,Cayman Islands,0.99,2021.0
35,Croatia,0.99,2021.0
36,Cyprus,0.99,2021.0
37,Czech Republic,0.99,2011.0
38,Fiji,0.99,2018.0
39,Grenada,0.99,2014.0
40,Hungary,0.99,2021.0
41,Italy,0.99,2018.0
42,Mongolia,0.99,2020.0
43,Montenegro,0.99,2021.0
44,Romania,0.99,2021.0
45,Samoa,0.99,2021.0
46,Serbia,0.99,2019.0
47,Spain,0.99,2020.0
48,Taiwan,0.99,2014.0
49,Tonga,0.99,2021.0
50,Turkmenistan,0.99,2005.0
51,Uruguay,0.99,2019.0
52,Aruba,0.98,2020.0
53,Bahrain,0.98,2018.0
54,Bosnia and Herzegovina,0.98,2022.0
55,Brunei,0.98,2021.0
56,Bulgaria,0.98,2021.0
57,Costa Rica,0.98,2021.0
58,Greece,0.98,2018.0
59,Jordan,0.98,2021.0
60,Maldives,0.98,2021.0
61,Marshall Islands,0.98,2011.0
62,North Macedonia,0.98,2012.0
63,Saudi Arabia,0.98,2020.0
64,Trinidad and Tobago,0.98,2000.0
65,United Arab Emirates,0.98,2022.0
66,Venezuela,0.98,2022.0
67,American Samoa,0.97,1980.0
68,Chile,0.97,2022.0
69,China,0.97,2020.0
70,New Caledonia,0.97,2006.0
71,Oman,0.97,2022.0
72,Palau,0.97,2015.0
73,Portugal,0.97,2021.0
74,Saint Vincent and the Grenadines,0.97,1980.0
75,Singapore,0.97,2020.0
76,Turkey,0.97,2019.0
77,Colombia,0.96,2020.0
78,Indonesia,0.96,2020.0
79,Kuwait,0.96,2020.0
80,Panama,0.96,2019.0
81,Philippines,0.96,2019.0
82,Seychelles,0.96,2020.0
83,Vietnam,0.96,2019.0
84,Dominican Republic,0.95,2021.0
85,Equatorial Guinea,0.95,2015.0
86,Lebanon,0.95,2019.0
87,Malaysia,0.95,2019.0
88,Malta,0.95,2021.0
89,Mexico,0.95,2020.0
90,Paraguay,0.95,2020.0
